epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00511,00068,00068
00512,00011,00011
00513,00098,00035
00514,00072,00067
00515,00054,00054
00516,00053,00053
00517,00073,00030
00518,00036,00036
00519,00045,00083
00520,00054,00054
00521,00064,00064
00522,00098,00046
00523,00045,00045
00524,00098,00098
00525,00062,00062
00526,00046,00046
00527,00095,00095
00528,00042,00088
00529,00037,00037
00530,00044,00018
00531,00044,00029
00532,00063,00063
00533,00008,00008
00534,00069,00033
00535,00035,00035
00536,00018,00006
00537,00076,00076
00538,00031,00019
00539,00099,00099
00540,00053,00053
00541,00015,00015
00542,00054,00057
00543,00002,00002
00544,00027,00027
00545,00027,00027
00546,00093,00093
00547,00081,00081
00548,00065,00054
00549,00071,00071
00550,00026,00026
00551,00096,00025
00552,00002,00035
00553,00030,00030
00554,00019,00072
00555,00008,00008
00556,00042,00042
00557,00062,00062
00558,00056,00056
00559,00067,00078
00560,00047,00047
00561,00073,00073
00562,00043,00043
00563,00020,00020
00564,00054,00083
00565,00004,00063
00566,00049,00049
00567,00061,00028
00568,00026,00026
00569,00045,00045
00570,00036,00036
00571,00036,00036
00572,00068,00068
00573,00001,00001
00574,00002,00002
00575,00026,00099
00576,00017,00009
00577,00065,00065
00578,00038,00038
00579,00058,00058
00580,00096,00096
00581,00080,00038
00582,00087,00087
00583,00082,00082
00584,00061,00022
00585,00083,00083
00586,00041,00041
00587,00054,00007
00588,00090,00012
00589,00010,00010
00590,00035,00035
00591,00044,00044
00592,00081,00081
00593,00091,00091
00594,00056,00056
00595,00009,00009
00596,00085,00024
00597,00097,00003
00598,00030,00030
00599,00001,00001
00600,00039,00039
00601,00098,00098
00602,00030,00072
00603,00083,00083
00604,00097,00080
00605,00043,00043
00606,00084,00084
00607,00066,00066
00608,00004,00004
00609,00064,00064
00610,00077,00077
00611,00098,00098
00612,00082,00082
00613,00081,00081
00614,00020,00020
00615,00000,00000
00616,00048,00048
00617,00046,00046
00618,00033,00033
00619,00022,00022
00620,00013,00013
00621,00049,00017
00622,00039,00039
00623,00076,00076
00624,00000,00000
00625,00017,00017
00626,00064,00064
00627,00048,00048
00628,00034,00090
00629,00093,00093
00630,00082,00082
00631,00075,00075
00632,00096,00096
00633,00097,00097
00634,00003,00003
00635,00070,00083
00636,00060,00060
00637,00061,00061
00638,00032,00032
00639,00026,00026
00640,00084,00084
00641,00041,00041
00642,00012,00012
00643,00085,00085
00644,00039,00012
00645,00008,00008
00646,00082,00082
00647,00021,00072
00648,00094,00094
00649,00077,00007
00650,00022,00022
00651,00015,00015
00652,00066,00066
00653,00089,00089
00654,00085,00097
00655,00019,00019
00656,00000,00000
00657,00019,00019
00658,00005,00005
00659,00056,00056
00660,00036,00036
00661,00045,00045
00662,00001,00001
00663,00094,00094
00664,00004,00066
00665,00087,00086
00666,00082,00082
00667,00017,00017
00668,00064,00064
00669,00099,00099
00670,00038,00034
00671,00030,00030
00672,00095,00073
00673,00083,00083
00674,00077,00006
00675,00001,00001
00676,00028,00028
00677,00077,00077
00678,00091,00091
00679,00027,00074
00680,00068,00068
00681,00014,00014
00682,00014,00014
00683,00001,00001
00684,00092,00092
00685,00097,00097
00686,00045,00045
00687,00007,00007
00688,00021,00021
00689,00037,00037
00690,00032,00032
00691,00073,00073
00692,00088,00088
00693,00086,00086
00694,00062,00092
00695,00014,00014
00696,00010,00086
00697,00074,00074
00698,00025,00025
00699,00093,00093
00700,00078,00078
00701,00077,00077
00702,00042,00088
00703,00042,00042
00704,00010,00010
00705,00065,00065
00706,00026,00026
00707,00031,00031
00708,00085,00085
00709,00078,00078
00710,00059,00029
00711,00067,00032
00712,00081,00081
00713,00097,00097
00714,00001,00001
00715,00082,00082
00716,00057,00000
00717,00004,00021
00718,00015,00015
00719,00056,00056
00720,00057,00057
00721,00064,00097
00722,00076,00076
00723,00060,00060
00724,00087,00087
00725,00046,00046
00726,00001,00001
00727,00061,00061
00728,00075,00075
00729,00062,00062
00730,00021,00021
00731,00061,00061
00732,00093,00078
00733,00090,00090
00734,00068,00068
00735,00094,00094
00736,00088,00088
00737,00095,00095
00738,00004,00003
00739,00083,00083
00740,00032,00032
00741,00093,00093
00742,00077,00077
00743,00038,00038
00744,00063,00063
00745,00061,00061
00746,00041,00041
00747,00088,00088
00748,00083,00083
00749,00002,00035
00750,00082,00082
00751,00050,00050
00752,00015,00015
